APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.550764,0.401344,0.105109,0.055479,0.274096,0.058132,yes,PO,20
0.18944,0.880062,0.734292,0.616207,0.904961,0.452037,yes,DP,20
0.345103,0.672654,0.27392,0.194546,0.567994,0.104465,yes,DP,20
0.190109,0.876746,0.734439,0.637928,0.904126,0.450555,yes,DP,20
0.349734,0.668482,0.266703,0.186813,0.558464,0.09976,yes,DP,20
0.200501,0.874424,0.679791,0.545261,0.886905,0.159994,yes,DP,20
0.368306,0.651974,0.245031,0.166683,0.529439,0.101835,yes,DP,20
0.181693,0.8837,0.780335,0.691918,0.91611,0.534538,yes,DP,20
0.321073,0.702846,0.304745,0.257074,0.615384,0.019392,yes,DP,20
0.177382,0.879158,0.778058,0.741145,0.921273,0.545779,yes,DP,20
0.191248,0.872527,0.683214,0.65597,0.89728,0.043191,yes,DP,20
0.174416,0.87334,0.790931,0.784974,0.92586,0.598484,yes,DP,20
0.179698,0.87309,0.775613,0.594872,0.921774,0.098844,yes,DP,20
0.178763,0.874196,0.763203,0.767344,0.922414,0.607458,yes,DP,20
0.20019,0.857806,0.660554,0.69951,0.879527,0.063572,yes,DP,20
0.413985,0.571874,0.200627,0.126459,0.461498,0.069928,yes,DP,20
0.415144,0.568078,0.201535,0.125047,0.459766,0.067659,yes,DP,20
0.42673,0.556314,0.19154,0.118489,0.44621,0.06683,yes,DP,20
0.425556,0.555397,0.191692,0.11895,0.446403,0.063979,yes,DP,20
0.457129,0.518252,0.176377,0.101535,0.411162,0.054739,yes,DP,20
0.459893,0.516135,0.172449,0.100601,0.407894,0.054646,yes,DP,20
0.391905,0.59288,0.216461,0.142447,0.491227,0.079425,yes,DP,20
0.393125,0.594694,0.216299,0.142989,0.490878,0.071865,yes,DP,20
0.370694,0.621173,0.2349,0.163855,0.521972,0.090617,yes,DP,20
0.371411,0.620649,0.231601,0.160867,0.521019,0.086439,yes,DP,20
0.327847,0.672629,0.285954,0.217137,0.596354,0.094808,yes,DP,20
0.329489,0.668742,0.284114,0.216981,0.593099,0.089945,yes,DP,20
0.360938,0.630053,0.245599,0.171104,0.538346,0.093139,yes,DP,20
0.361108,0.631974,0.246013,0.170548,0.537569,0.087954,yes,DP,20
0.762443,0.204094,0.064202,0.023149,0.04584,0.038848,yes,DI,20
0.786758,0.192418,0.065549,0.021171,0.044798,0.041793,yes,DI,20
0.682721,0.258532,0.064657,0.029812,0.063353,0.039286,yes,DI,20
0.738097,0.220857,0.064631,0.024885,0.051106,0.04048,yes,DI,20
0.756301,0.207788,0.062963,0.023836,0.049701,0.040467,yes,DI,20
0.709327,0.240056,0.06537,0.027793,0.05693,0.03716,yes,DI,20
0.720832,0.235222,0.064404,0.026742,0.055912,0.039755,yes,DI,20
0.614982,0.36273,0.089707,0.043042,0.209514,0.077082,yes,DO,20
0.583591,0.37784,0.091921,0.049222,0.223528,0.075742,yes,DO,20
0.571156,0.38242,0.091784,0.051579,0.231962,0.080647,yes,DO,20
0.593476,0.370104,0.090772,0.047099,0.221333,0.079246,yes,DO,20
0.563597,0.386464,0.094552,0.053634,0.235774,0.079962,yes,DO,20
0.545627,0.397603,0.09519,0.057318,0.24162,0.080478,yes,DO,20
0.598919,0.36888,0.08964,0.045569,0.21836,0.078809,yes,DO,20
0.744279,0.24048,0.075532,0.025156,0.18024,0.022496,yes,PO,20
0.780565,0.209288,0.074029,0.022529,0.173161,0.021175,yes,PO,20
0.728813,0.248425,0.077025,0.026753,0.184663,0.024075,yes,PO,20
0.62846,0.33393,0.08213,0.036816,0.207183,0.027326,yes,PO,20
0.669021,0.299913,0.078343,0.03151,0.196695,0.024684,yes,PO,20
0.707751,0.266543,0.076655,0.027334,0.186207,0.024001,yes,PO,20
0.681655,0.290536,0.077793,0.02966,0.193017,0.024476,yes,PO,20
0.737911,0.233959,0.06467,0.025574,0.053466,0.04767,yes,DI,20
0.754677,0.225562,0.064442,0.02412,0.049738,0.049055,yes,DI,20
0.667934,0.275103,0.067289,0.033028,0.068406,0.04776,yes,DI,20
0.712679,0.246906,0.064759,0.027341,0.058332,0.04483,yes,DI,20
0.731498,0.238013,0.064334,0.026113,0.054513,0.049119,yes,DI,20
0.691157,0.258231,0.066386,0.03079,0.063414,0.045979,yes,DI,20
0.699256,0.253257,0.064755,0.028775,0.061609,0.04588,yes,DI,20
0.358785,0.653933,0.25444,0.176748,0.544321,0.096125,yes,DP,20
0.19897,0.866857,0.658403,0.673351,0.886964,0.303619,yes,DP,20
0.366891,0.64506,0.24841,0.167442,0.531486,0.091073,yes,DP,20
0.375452,0.634224,0.240301,0.175751,0.524104,0.011593,yes,DP,20
0.388004,0.621699,0.224185,0.147102,0.498353,0.085413,yes,DP,20
0.191627,0.86898,0.696729,0.680409,0.900582,0.393457,yes,DP,20
0.346333,0.667341,0.267478,0.194429,0.565854,0.098863,yes,DP,20
0.183385,0.87326,0.749123,0.671469,0.913254,0.49422,yes,DP,20
0.294821,0.733082,0.347318,0.348469,0.672043,0.006897,yes,DP,20
0.174806,0.876637,0.793491,0.798904,0.927598,0.582934,yes,DP,20
0.184034,0.871371,0.763886,0.783527,0.911434,0.06754,yes,DP,20
0.182274,0.878145,0.746431,0.698912,0.915933,0.491934,yes,DP,20
0.27185,0.765425,0.392297,0.441433,0.721171,0.005398,yes,DP,20
0.612925,0.388627,0.09181,0.043862,0.234975,0.046678,yes,PO,20
0.631313,0.379737,0.089459,0.040556,0.228063,0.044069,yes,PO,20
